Academy,Aqqutikitsoq,Austfonna,Brewster,Columbia,Devon,Elbrus,Freya,Hellstugubreen,Kesselwandferner,Mocho,NorthGlacier,SouthGlacier,Starbuck,Synthetic1,Synthetic2,Synthetic3,Tasman,Unteraar,Urumqi,Washmawapta
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0017002997896997628,0.0010833760714836005,0.00017151187719749593,1.2330114146031706e-05,0.0002570620662077633,0.00013621350992517364,0.00016534510398769257,0.00025011612534390966,0.00012335888624548418,0.00026872734661239684,0.0006678592725104353,0.0005782413053534632,0.0004435483870967742,0.0005678781400320684,0.000973393900064893,0.0004241372662425294,0.003572308450357231,2.0984597305577707e-05,6.0307348176250964e-05,0.0018194080649967847,0.00029216467463479413
0.006577475502259609,0.003734796456956623,0.00017151187719749593,5.856804219365061e-05,0.0007711861986232898,0.0013835174525539439,0.0008698590253265566,0.0005716940007860793,0.0003965107057890563,0.0005833349719147151,0.0025521765056648778,0.0013982926111274655,0.0010483870967741935,0.006714323890967397,0.0022712524334847503,0.0013880855986119144,0.009608277900960829,0.00011891271806494033,0.00012061469635250193,0.0032310177705977385,0.0010624169986719787
0.012707503691440332,0.009193961155426027,0.00034302375439499187,0.00011456731060687795,0.0011996229756362287,0.002502527275369469,0.0025304989827681645,0.0011076571265230286,0.0008282668076482509,0.0011601156183022987,0.004770423375074538,0.002207830438622314,0.002688172043010753,0.013528861571352219,0.004988643737832576,0.0028532870638133794,0.017351212473163694,0.00020984597305577705,0.0001535096135395479,0.004783788446758787,0.0021779548472775564
0.020000894894626156,0.014621732934023935,0.0004287796929937398,0.00020293312865343852,0.0022278712404672817,0.003610053982522698,0.004600907241396663,0.002036659877800407,0.0015331747290510177,0.0020318409134108054,0.005891472868217054,0.0036692039194247024,0.004206989247311828,0.020309994655264563,0.008517196625567812,0.005012531328320802,0.02600922113117235,0.00030427666093087673,0.00023026442030932187,0.006430666436626566,0.00350597609561753
0.02733903082911987,0.02033204099146529,0.0006002915701912358,0.00033085806291851746,0.003256119505298335,0.004909229930384601,0.0069588722026124525,0.0028227391288812662,0.002564102564102564,0.002982218114844892,0.007155635062611807,0.005635224357626477,0.005631720430107527,0.025955371459112773,0.01281635301752109,0.007634470792365529,0.03632140217506071,0.0004371791105328689,0.0003015367408812548,0.00818733629248553,0.004780876494023904
0.033111101167837484,0.026473841529181162,0.0006860475087899837,0.0005661577412052892,0.004484304932735426,0.006286015901343406,0.010301718870189715,0.003751741880158645,0.003903427614767821,0.004207876988418507,0.008944543828264758,0.007023003490474788,0.00849462365591398,0.033939070016034203,0.01963011031797534,0.010950453055716214,0.05022348924787949,0.0005595892614820722,0.00039473900624455177,0.00989695249149113,0.006108897742363878
0.03906215043178666,0.03287959886255123,0.0007718034473887317,0.0008954745398555527,0.005798177715575105,0.007694875402255522,0.014054333838953869,0.004680744631436024,0.0052779980615032165,0.005859567021255677,0.010614192009540847,0.008400269145043946,0.011196236559139785,0.0405197755211117,0.027822842310188188,0.015076151918257182,0.0720796818357794,0.0007309634728109568,0.0005318011611905767,0.011841836974763556,0.007649402390438247
0.04420779453219383,0.03961530219048903,0.0008575593859874796,0.0012884969282603133,0.007654737082631173,0.00927677357711328,0.018288606284551735,0.005681209132811662,0.006714247951361354,0.008179798257860275,0.01197376267143709,0.010008831321754489,0.01418010752688172,0.04743452699091395,0.035853341985723555,0.020397146712936187,0.09096188364481048,0.0008813530868342636,0.0006962757471258066,0.01372398324889816,0.009269588313413015
0.04971139648306412,0.04684047879968851,0.0009433153245862276,0.0017770777012968198,0.009482733997886378,0.011010724042120069,0.02298296945428927,0.006931789759531211,0.008344347519605251,0.010735985213441612,0.013691115086463923,0.011491231759115185,0.017594086021505376,0.05424906467129877,0.04355937702790396,0.026527858106805476,0.10884102347516982,0.0010422349995103594,0.0009704000570178564,0.015700236836739496,0.01099601593625498
