x,y,Thickness,GATE,Inferred
601415.3268,6738388.8729,0.0,NA,True
601421.7338148121,6738380.581168029,8.23007389194128,NA,True
601428.1408296243,6738372.289436059,16.460147783882597,NA,True
601434.5478444363,6738363.997704089,24.690221675823803,NA,True
601440.9548592484,6738355.705972118,32.9202955677651,NA,True
601447.3618740605,6738347.414240148,41.1503694597064,NA,True
601453.7688888726,6738339.1225081775,49.3804433516477,NA,True
601460.1759036847,6738330.830776207,57.610517243589,NA,True
601466.5829184968,6738322.539044237,65.8405911355303,NA,True
601472.9899333088,6738314.247312266,74.0706650274715,NA,True
601479.3969481209,6738305.955580296,82.3007389194128,NA,True
601485.803962933,6738297.663848326,90.140728843904,NA,True
601492.2109777451,6738289.372116355,91.38110959605308,NA,True
601498.6179925572,6738281.080384385,92.62149034820222,NA,True
601505.0250073693,6738272.788652414,93.8618711003513,NA,True
601511.4320221813,6738264.496920444,95.1022518525003,NA,True
601517.8390369934,6738256.205188474,96.34263260464941,NA,True
601524.2460518056,6738247.913456503,97.6737743940062,NA,True
601530.6530666177,6738239.621724533,99.1208852715134,NA,True
601537.0600814298,6738231.329992562,100.567996149021,NA,True
601543.4670962419,6738223.038260591,102.015107026528,NA,True
601549.8741110539,6738214.746528621,103.462217904035,NA,True
601556.281125866,6738206.45479665,104.909328781542,NA,True
601562.6881406781,6738198.16306468,108.430254045105,NA,True
601569.0951554902,6738189.87133271,112.399472451982,NA,True
601575.5021703023,6738181.579600739,116.36869085885901,NA,True
601581.9091851144,6738173.287868769,120.337909265736,NA,True
601588.3161999264,6738164.9961367985,124.255000263394,NA,True
601594.7232147385,6738156.704404828,127.856105672859,NA,True
601601.1302295506,6738148.412672858,131.45721108232402,NA,True
601607.5372443628,6738140.120940887,135.058316491789,NA,True
601613.9442591749,6738131.829208917,138.659421901254,NA,True
601620.351273987,6738123.537476947,142.394392641287,NA,True
601626.758288799,6738115.245744976,146.434489948287,NA,True
601633.1653036111,6738106.954013006,150.474587255286,NA,True
601633.5289114539,6738097.2731747925,154.514684562286,NA,False
601631.3854359293,6738087.016071374,158.554781869286,NA,False
601629.2419604048,6738076.758967955,162.59487917628599,NA,False
601627.0984848802,6738066.501864536,167.075051340538,NA,False
601624.9550093556,6738056.244761117,171.63645152586,NA,False
601622.811533831,6738045.987657698,176.19785171118198,NA,False
601620.6680583063,6738035.730554279,180.75925189650502,NA,False
601618.5245827818,6738025.47345086,185.31061078974602,NA,False
601616.3811072572,6738015.216347441,188.53560074533297,NA,False
601614.2376317326,6738004.959244022,191.76059070092097,NA,False
601612.094156208,6737994.702140603,194.98558065650798,NA,False
601609.9506806834,6737984.445037184,198.21057061209598,NA,False
601607.8072051589,6737974.187933765,201.840999072467,NA,False
601605.6637296343,6737963.9308303455,206.30636978020402,NA,False
601603.5202541096,6737953.673726927,210.77174048793998,NA,False
601601.376778585,6737943.416623508,215.237111195677,NA,False
601599.4583366361,6737933.117405933,219.702481903413,NA,False
601597.747505551,6737922.779334794,225.404540935797,NA,False
601596.0366744658,6737912.441263655,231.78364194684897,NA,False
601594.3258433806,6737902.103192517,238.162742957902,NA,False
601592.6150122955,6737891.765121378,244.541843968954,NA,False
601590.9041812104,6737881.427050239,250.699578683387,NA,False
601589.1933501253,6737871.088979101,256.281292068058,NA,False
601587.4825190402,6737860.750907962,261.863005452729,NA,False
601585.7716879551,6737850.412836823,267.44471883739897,NA,False
601584.0608568699,6737840.074765684,273.224804992067,NA,False
601582.3500257848,6737829.7366945455,279.17863260238204,NA,False
601580.6391946997,6737819.398623407,285.132460212698,NA,False
601578.9283636146,6737809.060552268,291.086287823013,NA,False
601577.2175325295,6737798.72248113,296.281657752921,NA,False
601575.5067014444,6737788.38440999,301.036450636159,NA,False
601573.7958703593,6737778.046338852,305.791243519397,NA,False
601572.0850392741,6737767.708267713,310.546036402635,NA,False
601570.9238361674,6737757.309140228,315.300829285873,NA,False
601570.3241119352,6737746.847639918,320.094115996525,NA,False
601569.724387703,6737736.386139609,327.288324358989,NA,False
601569.1246634708,6737725.9246393,334.482532721454,NA,False
601568.5249392386,6737715.463138991,341.676741083918,NA,False
601567.9252150063,6737705.001638683,348.870949446383,NA,False
601567.3254907741,6737694.540138373,355.649465933591,NA,False
601566.7257665419,6737684.078638064,361.603293543907,NA,False
601566.1260423097,6737673.617137755,367.55712115422205,NA,False
601565.5263180775,6737663.155637446,373.51094876453794,NA,False
601564.9265938454,6737652.694137136,379.464776374853,NA,False
601564.3268696131,6737642.232636828,385.783918763236,NA,False
601563.76979811,6737631.77137185,392.295917712019,NA,False
601564.4849223013,6737621.317126049,398.807916660801,NA,False
601565.2000464925,6737610.862880248,405.319915609584,NA,False
601565.9151706838,6737600.4086344475,411.710981814216,NA,False
601566.630294875,6737589.954388646,418.09008282526804,NA,False
601567.3454190663,6737579.500142846,424.469183836321,NA,False
601568.0605432575,6737569.045897045,430.84828484737295,NA,False
601568.7756674489,6737558.591651244,437.227385858425,NA,False
601569.4907916401,6737548.137405444,443.27361801433295,NA,False
601570.2059158314,6737537.683159643,448.91171234228403,NA,False
601570.9210400226,6737527.228913842,454.549806670234,NA,False
601571.0007943768,6737516.822581734,460.187900998184,NA,False
601568.7259492252,6737506.593811651,465.82599532613403,NA,False
601566.4511040736,6737496.365041568,471.870708300549,NA,False
601564.1762589219,6737486.136271485,478.86194526720703,NA,False
601561.9014137703,6737475.907501402,485.85318223386497,NA,False
601559.6265686186,6737465.6787313195,492.844419200523,NA,False
601557.351723467,6737455.449961237,499.835656167182,NA,False
601555.0768783153,6737445.221191154,506.687264090686,NA,False
601552.8020331637,6737434.992421071,512.758601456468,NA,False
601550.527188012,6737424.763650988,518.82993882225,NA,False
601548.2523428603,6737414.534880905,524.9012761880319,NA,False
601545.9774977088,6737404.306110823,530.972613553815,NA,False
601543.702652557,6737394.077340739,537.043950919597,NA,False
601541.4278074055,6737383.848570656,543.153321726296,NA,False
601538.9562228768,6737373.668900215,549.3952377693689,NA,False
601536.1581322355,6737363.570714901,555.637153812441,NA,False
601533.3600415941,6737353.472529587,561.879069855514,NA,False
601530.5619509529,6737343.3743442735,568.120985898587,NA,False
601527.7638603116,6737333.27615896,573.9943824175759,NA,False
601524.9657696702,6737323.177973646,579.28232141358,NA,False
601522.1676790289,6737313.079788332,584.570260409584,NA,False
601519.3695883877,6737302.981603018,589.858199405588,NA,False
601516.5714977463,6737292.883417704,595.1461384015911,NA,False
601513.773407105,6737282.78523239,600.4340773975949,NA,False
601510.9753164636,6737272.687047076,604.9106668946071,NA,False
601510.1857136145,6737262.337632233,608.425079025696,NA,False
601510.4102707148,6737251.861362288,611.9394911567849,NA,False
601510.634827815,6737241.385092341,615.453903287874,NA,False
601510.8593849153,6737230.908822396,618.968315418963,NA,False
601511.0839420157,6737220.432552449,622.482727550052,NA,False
