,consensus,glate_farinotti_alpha,True thickness,data-raw/data,data-raw/raw
CA,2.1110113080709003,1.935001259867044,1.7174710183504185,-0.22913940643869843,-0.186422634599769
KW1,2.363016479002261,2.1659949622480967,1.6959417453607026,-0.39333587693466504,-0.2822979609195184
KW2,2.2868963909307434,2.0962215519007623,1.9334914354729213,-0.18278071936293896,-0.15453474711811926
KW3,3.051653622432736,2.7972155255292375,2.9298386092829483,-0.04157737998394418,-0.03991770633938411
KW4,3.1162229488076796,2.8564012467679434,2.8337350795879486,-0.09968746593658549,-0.09065072488725999
KW5,3.2000184664575624,2.9332101340339816,2.517726278834205,-0.2709953791876384,-0.21321507821755115
NA,1.7727008687353687,1.6248981704706442,1.6740308262605132,-0.05894159230942404,-0.05566085300406374
SA,1.4182980858028627,1.3000444732938052,1.0732405738907485,-0.3215099394362253,-0.24328983826893194
SW,0.7167818086463222,0.6570186041862052,0.6314679031063292,-0.13510410445299792,-0.11902353618755
