,consensus,glate_farinotti_alpha,True thickness
CA,2.9749554727688063,2.7269122560586116,
KW1,3.8699052615466423,3.5472436499100914,
KW2,6.5382938104321395,5.993149687015191,
KW3,3.35031265825966,3.0709732703764883,
KW4,3.397739914649007,3.114446139738529,
KW5,6.999353260158085,6.41576727458703,
NA,,,
SA,1.652922925618652,1.5151069661883438,
SW,0.8564347234042913,0.7850276607469076,
