,consensus,glate_farinotti_alpha
CA,1.9872240004712889,1.8215349886795063
KW1,2.1669724544941618,1.9862965077985644
KW2,2.0402216609672266,1.870113845575761
KW3,2.915620959829877,2.6725249283671553
KW4,3.0028636778379587,2.7524935211536534
KW5,3.054968093445543,2.800253640180679
NA,1.7180493519499265,1.574803326391976
SA,1.3815910406160405,1.2663979642354337
SW,0.6849619831879836,0.6278518233941637
