,Volume [km^3]
Farinotti (2019),49.87866
GlaTe $\hat{h}^{glac}$,9.288357389033514
GlaTe $h^{glac}$,37.507861592496845
GlaTe $h^{est}$,28.51675861086463
GlaTe + F $h^{glac}$,46.028472253765464
GlaTe + F $h^{est}$,32.3367870115208
