Glacier,Mean,Std,Median,Maximum,Minimum,Absolute mean,Mean square,
North glacier,23.8,24.22,24.16,82.96,-93.05,28.4,1.153e+03,
North glacier (\%),30.47,36.75,23.49,233.7,-100.0,35.46,2.279e+03,
South glacier,14.12,28.28,20.58,70.46,-84.8,27.39,999.2,
South glacier (\%),40.24,186.6,30.37,6.106e+03,-100.0,54.32,3.644e+04,
