Glacier,Mean,Std,Median,Maximum,Minimum,Mean absolute,RMSE
North glacier,24.16,22.58,24.61,78.86,-75.03,27.82,33.07
South glacier,14.18,28.11,20.63,70.46,-82.78,27.30,31.48
Kaskawulsh glacier,99.31,155.11,94.34,595.68,-221.59,147.54,184.18
Job glacier,-6.62,14.74,-6.62,22.13,-41.13,12.67,16.16
little Kluane glacier,62.79,32.16,73.71,104.73,1.34,62.79,70.55
